keyword,meaning_zh,topic,source_type,source_name,source_url,published_date,weight,example
shipping emissions,航運排放,climate policy,newspaper,The Guardian,https://www.theguardian.com/environment/shipping-emissions,2026-05-01,medium,Shipping emissions are part of global climate talks.
AI chips,AI晶片,technology trade,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,high,AI chips have become central to technology competition.
trade truce,貿易休兵,US-China relations,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,medium,The two sides tried to preserve a fragile trade truce.
rare earth,稀土,critical supply chains,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,high,Rare earth supply restrictions can affect technology firms.
tariff,關稅,global trade,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,medium,Tariffs can raise costs for consumers and companies.
networking supercycle,網路設備超級週期,AI infrastructure,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,medium,AI demand may create a networking supercycle.
technology competition,科技競爭,technology trade,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,high,Technology competition shapes trade policy.
AI infrastructure,AI基礎建設,technology,magazine,TIME Magazine,https://www.zinio.com/publications/time/6049/issues/710325,2026-05-11,high,AI infrastructure requires large investments.
market capitalization,市值,business,magazine,TIME Magazine,https://www.zinio.com/publications/time/6049/issues/710325,2026-05-11,medium,Market capitalization reflects a company's total market value.
citizenship information,公民身分資訊,policy and banking,magazine,TIME Magazine,https://www.zinio.com/publications/time/6049/issues/710325,2026-05-11,low,Banks may be asked to collect citizenship information.
AI compute,AI算力,technology,magazine,Economist Impact,https://events.economist.com/ai-compute/programme/,2026-05-19,high,AI compute demand can affect energy and infrastructure planning.
climate target,氣候目標,AI and climate,magazine,Economist Impact,https://events.economist.com/ai-compute/programme/,2026-05-19,medium,AI growth may make climate targets harder to meet.
critical supply chain,關鍵供應鏈,trade and technology,newspaper,CommonWealth English / Reuters,https://english.cw.com.tw/article/article.action?id=4773,2026-05-15,high,Critical supply chains are vulnerable to trade restrictions.
